Название вакансии,Компания,Ссылка,Оплата труда,Описание вакансии
Full-stack Developer,"ПАО Урал ФД, АКБ",https://perm.hh.ru/vacancy/27861785?query=python,40 000-85 000 руб.,"Развитие интернет-сервисов и систем Интернет-Банка. Разработка интеграции сервисов интернет-банка с внешними системами. Доработка систем мониторинга и управления...
Опыт работы в области интернет-технологий от 2-х лет. Знание JS, SQL, HTML, PHP/Python (либо другой язык бэкэнда)."
BI/SQL разработчик (в г.Краснодар), TRproject,https://perm.hh.ru/vacancy/31262609?query=python,до 120 000 руб.,"Проектирование и внедрения BI-инструментов с нуля. Проектирование архитектуры БД/ХД на базе MS SQL Server. Анализ производительности и оптимизация...
Знания в области машинного обучения, понимание методологии построения моделей и метрик оценки их качества. Опыт использования R или Python для..."
Специалист по тестированию (автотестирование),ООО ДартИТ,https://perm.hh.ru/vacancy/30345401?query=python,0,"Разработка программ и скриптов автоматизированного тестирования (groovy в SOAP UI, javascript в Postman, самостоятельные программы на java или python). 
Умение создавать небольшие скрипты на одном из современных языков программирования: javascript / python / groovy / java. Опыт работы в команде по гибкой..."
Software test automation engineer," EPAM Systems, Inc.",https://perm.hh.ru/vacancy/31484229?query=python,0,"Написание новых автоматизированных API и UI тестов и поддержка уже существующих наборов автотестов. Анализ отчетов результатов автоматизированного тестирования. 
Опыта разработки автоматизированных тестов на Java и Selenium. Опыт автоматизированного тестирования Web приложений. Знание REST Assured, SoapUI. Опыт работы с..."
Руководитель отдела backend-разработки, G-Core Labs,https://perm.hh.ru/vacancy/31478337?query=python,0,"Участвовать в проектах в качестве архитектора и ведущего разработчика, оценивать сроки выполнения задач, создавать HLD/POC, распределять задачи внутри команды. 
Уверенное знание Python 3.5 и выше. Django, git, rabbitmq. Понимание OOP (SOLID). Опыт работы с SQL и non-SQL..."
Ведущий администратор (DevOps), ЭР-Телеком,https://perm.hh.ru/vacancy/31094155?query=python,0,"Администрирование Docker кластера. Администрирование MySQL сервера. Администрирование GitLab. Автоматизация задач администрирования, внутренних процессов разработки и тестирования (Continuous Integration, Continuous Delivery). 
Опыт программирования на скриптовых языках (Bash, PHP, Python). Опыт администрирования UNIX/Linux-систем не менее 2х лет. "
Старший программист (Perl/Python), ЭР-Телеком,https://perm.hh.ru/vacancy/30244338?query=python,до 60 000 руб.,"Разработка нового, поддержка и актуализация базового функционала систем мониторинга сети. Проведение обучения и контроль за уровнем компетенций программистов направления.
Опыт работы с протоколами Telnet,SSH,SNMP. Знания скриптовых языков perl/python. Знания PostgreSQL. Опыт написания сложных SQL запросов/процедур."
Javascript разработчик (backend), DATABRIZ,https://perm.hh.ru/vacancy/30245864?query=python,80 000-130 000 руб.,"О продукте и команде. Процессы: Плоская орг.структура, быстрое принятие решений. Внедряем: code review, тестирование, итеративная разработка, CI, системный рефакторинг. 
Опыт создания backend для SPA не менее 1 года (на любом языке: PHP, Java, C#, Nodejs, Python). Опыт работы с..."
Программист С++,ПАО Пермская научно-производственная приборостроительная компания,https://perm.hh.ru/vacancy/30689588?query=python,от 35 000 руб.,"Мы ведем множество проектов, связанных с созданием навигационных блоков и узлов, входящих в их состав, технологического ПО для контрольно-проверочных...
Приветствуются знание и опыт программирования под ОС Linux. Приветствуется знание других ООП языков (Python, Java, C#). Приветствуется знание скриптовых языков..."
DevOps specialist, PARMA technologies group,https://perm.hh.ru/vacancy/31448459?query=python,0,"Разработка конвейеров сборки, тестирования и развертывания приложений на основе Java, Oracle, Cognos Analytics, QlikView поверх RedHat и Windows Server. 
Знание Linux-систем (RedHat) на уровне администрирования. Основы администрирования Windows. Опыт использования Python для разработки скриптов автоматизации. Опыт настройки и..."
Ведущий программист С++,ПАО Пермская научно-производственная приборостроительная компания,https://perm.hh.ru/vacancy/30689565?query=python,от 60 000 руб.,"Мы ведем множество проектов, связанных с созданием навигационных блоков и узлов, входящих в их состав, технологического ПО для контрольно-проверочных...
Приветствуются знание и опыт программирования под ОС Linux. Приветствуется знание других ООП языков (Python, Java, C#). Приветствуется знание скриптовых языков..."
DevOps инженер, ЭР-Телеком,https://perm.hh.ru/vacancy/20762024?query=python,0,"Автоматизацию процессов разработки ПО (CI / CD). Обеспечение мониторинга работоспособности всех компонентов высоконагруженной системы. Реагирование на инциденты. Работу в команде профессионалов...
Опыт разработки на backend на любом серверном языке программирования (Java, PHP, Python, ASP.NET / C#, ...). Опыт администрирования серверов на linux-based..."
Android разработчик, ЭР-Телеком,https://perm.hh.ru/vacancy/29656722?query=python,0,"Разработка приложения для Android TV, Android STB и Android смартфонов и планшетов. Ответственность за качество кода и бесперебойную работу сервиса. 
Опыт использования Kotlin, других языков (Ruby, Scala, Python). Опыт работы с видеоконтентом. Наличие OS проектов на GitHub или участие в..."
Ведущий программист backend, ЭР-Телеком,https://perm.hh.ru/vacancy/30178263?query=python,0,"Проектирование и разработка нового функционала backend, внесение изменений в работу существующего функционала. Управление группой разработчиков. Ведение документации (примерно 20% рабочего...
Опыт управления группой разработчиков. Уверенные знания одного из скриптовых языков: Python, Perl. Практический опыт работы с операционными системами семейства *nix. "
Ведущий программист встраиваемых систем,ПАО Пермская научно-производственная приборостроительная компания,https://perm.hh.ru/vacancy/30689649?query=python,0,"Linux, QNX, FreeRTOS, BareMetal, в зависимости от назначения ПО. JIRA/Confluence/Crucible - управление проектами и задачами, документацией на ПО, код...
Приветствуются знание и опыт программирования под ОС Linux. Приветствуется знание других ООП языков (Python, Java, C#). Приветствуется знание и практический..."
Специалист по автоматизации, ЭР-Телеком,https://perm.hh.ru/vacancy/30136667?query=python,0,"Разработка и внедрение решения для автоматизации тестирования веб-портала Movix. Развитие инструментов, инфраструктуры и подходов тестирования. Решение вопросов автоматизации продуктов...
Знание одного из языков программирования: Java или Python. Владение техниками тест-дизайна. Понимание принципов работы веба, веб-приложений. "
"Инженер (проект ""Цифровой дом"")", ЭР-Телеком,https://perm.hh.ru/vacancy/30010619?query=python,35 000-50 000 руб.,"Разрабатывать и утверждать архитектурные решения в соответствующих информационных системах. Мониторить производительность и проводить работы по оптимизации работы информационных систем. 
Основы разработки программного обеспечения. Порядок составления технических заданий, иных видов программной документации. Порядок оформления технической документации. Операционные системы семейства Linux..."
Ведущий инженер, ЭР-Телеком,https://perm.hh.ru/vacancy/29910046?query=python,0,"Управление архитектурой высоконагруженной системы управления клиентскими устройствами. Управление группой программистов по разработке, внедрению, автоматизации и сопровождению системы управления клиентскими устройствами. 
Понимание работы высоконагруженных систем и отказоустойчивости приложений. Опыт организации процесса разработки. Уверенные знания Python/Golang. Docker. Linux (развертывание приложения, сетевая..."
Backend-разработчик, G-Core Labs,https://perm.hh.ru/vacancy/30196302?query=python,0,"Проектировать и разрабатывать сервисы для CDN, DDoS Protection, Anycast DNS. (Сервисы объединены в единую платформу и управляются с помощью API).
Имеете опыт коммерческой разработки на Python от 1 года."
Backend Developer, G-Core Labs,https://perm.hh.ru/vacancy/30412073?query=python,0,"Develop components, modules, plug-ins for the OpenStack cloud platform. Productively participate and contributes to component level designs together with...
Strong knowledge of Python 2.7 and above. Django, git, git flow, jenkins. Knowledge of OOP (SOLID). Experience with SQL..."
Senior Data Scientist," EPAM Systems, Inc.",https://perm.hh.ru/vacancy/31336123?query=python,0,"Обработка больших объемов структурированных и неструктурированных данных клиентов с использованием передовых аналитических решений. Построение моделей и применение методов машинного обучения...
Опыт работы с инструментами анализа данных и библиотеками из python стека (NumPy, SciPy, Scikit-learn, pandas, Matplotlib и т.д..."
Ведущий Frontend разработчик / Senior Frontend Developer,ООО ТОП КЕЙС,https://perm.hh.ru/vacancy/31335891?query=python,0,"Развитие фронтовой части разработки React/Redux. Взаимодействие с командой бекэнда. Участие в принятии технических решений.
Опыт работы с Linux, Docker. Знание back-end языка программирования (GoLang, Python, Node.js и т.д.) и БД. "
Системный администратор Linux, Xsolla Inc.,https://perm.hh.ru/vacancy/31333550?query=python,от 50 000 руб.,"Работа с базами данных MySQL, PostgreSQL: репликация, мониторинг, администрирование. Администрирование веб серверов Apache, Nginx. Мониторинг состояния сервисов и оперативное решение...
Иметь опыт программирования на скриптовых языках (Bash, Python и т.д.). Уметь администрировать Linux системы. Знать Git. Иметь опыт работы..."
Научный сотрудник PostDoc (Выделение подгрупп специфичных наблюдений данных ), Национальный исследовательский университет «Высшая школа экономики»,https://perm.hh.ru/vacancy/31337557?query=python,70 000-70 000 руб.,"Разработка и реализация метода класса Subgroup discovery, для выявления подгрупп наблюдений выборки данных, подчиняющихся распределению отличному от усредненного. 
Знание английского языка. Знание статистики. Владение статистическими методами анализа данных. Владения языком программирования, предпочтительно R, Python или C/C++."
Научный сотрудник PostDoc (Исслед связи МРТ метрик с функцион показателями состояния НС), Национальный исследовательский университет «Высшая школа экономики»,https://perm.hh.ru/vacancy/31189351?query=python,0,"Расчёт количественных карт МРТ метрик. Нормализация и сегментация МРТ карт. Создание нормативных атласов МРТ метрик для различных возрастных групп. 
Владение статистическими методами анализа данных. Владения языком программирования, предпочтительно Python или C/C++. Приветствуется предыдущий опыт работы в области нейровизуализации."
Back-end разработчик, GMCS,https://perm.hh.ru/vacancy/29487561?query=python,от 80 000 руб.,"Разработка Веб-приложений (back-end) – доработка существующего собственного ПО, а также разработка нового ПО. Разработка приложений для мобильных устройств. 
Опыт программирования на PL/SQL и знание других языков программирования (C#, C, Python, HTML, CSS, PHP). Опыт разработки web-приложений..."
Разработчик в тестировании/SDET," СимбирСофт,ООО",https://perm.hh.ru/vacancy/30530155?query=python,0,"Разработка фреймворков автоматизированного тестирования на одном из языков программирования: Python, Java, C#, JavaScript. Автоматизация процесса разработки ПО и управления его...
Знания одного из языков программирования: Python, Java, C#, JavaScript. Желание стать профессионалом в разработке и обеспечении качества. Личные качества: инициативность..."
Java разработчик (RCS/Stream),ПАО МТС,https://perm.hh.ru/vacancy/31301471?query=python,0,"Участие в разработке серверной части (BackEnd) сервисов на платформе Java. Проведение code review функционала. Участие в развитии и оптимизации технических...
Хорошие коммуникативные навыки, умение и желание работать в команде. Высшее техническое образование. Опыт разработки в телекоме. Знание JavaScript, PHP, Python..."
Java разработчик Middle/Senior (Дом.ru TV), ЭР-Телеком,https://perm.hh.ru/vacancy/30369433?query=python,40 000-100 000 руб.,"Разрабатывать back-end часть приложения. Участвовать в проектировании архитектуры back-end и его подсистем. Проводить code review. Участвовать в создании...
Опыт разработки веб-приложений на одном из языков программирования (Java / PHP / Python) с готовностью переключиться на Java 8, Spring Framework. "
Database Administrator, Miro (экс-RealtimeBoard),https://perm.hh.ru/vacancy/31279876?query=python,0,"Разработка и реализация отказоустойчивой и автомасштабируемой инфраструктуры PostgreSQL. Гибкая настройка инфраструктуры PostgreSQL для обеспечения большей производительности. Доработка системы мониторинга инфраструктуры...
Опыт в настройке PostgreSQL от 2 лет (Vacuum, Indexes, Buffers, Memory). Опыт программирования на Python будет плюсом. Опыт автоматизации процессов..."
Аналитик по Информационной Безопасности / Аналитик SOC, GDC (ICL Services),https://perm.hh.ru/vacancy/30870552?query=python,0,"Заметить и проанализировать подозрительную активность в инфраструктуре заказчика. Сможет понятно донести до заказчика отчет по инциденту ИБ. Предложить способы (триггеры...
Опыт программирования на скриптовых языках (Python / PowerShell / Bash). Пройденные курсы или сертификаты по CompTIA Security+ / CEH или подобным. "
Systems Engineer, G-Core Labs,https://perm.hh.ru/vacancy/31271172?query=python,0,"Design, ensure utmost uptime and troubleshoot production systems and related toolset. Automate the current procedures.
Experience in puppet, ansible, git. Scripting/programming skills (bash/python/ruby/etc. - one of them at least). Solid knowledge of..."
Инженер по внедрению, ГК Аплана,https://perm.hh.ru/vacancy/31247193?query=python,0,"
Ansible. Ожидаем, что вы имеете базовое понимание функционирования сетевых технологий таких, как TCP/IP, DHCP, DNS, NAT, HTTPS и как..."
Старший системный администратор (Enterprisе Management Team), GDC (ICL Services),https://perm.hh.ru/vacancy/31242016?query=python,0,"Поддерживать одного или нескольких Enterprise Management решений на базе продуктов мониторинга и управления инфраструктурой от ведущих вендоров (MS SCOM, CA...
Знание сетевых технологий и протоколов: TCP/IP, SNMP будет плюсом. Опыт написания скриптов PowerShell, python будет плюсом. Знание и опыт..."
Backend Developer, Xsolla Inc.,https://perm.hh.ru/vacancy/31176163?query=python,65 000-120 000 руб.,"Рабочие места на новейших MacBook Pro + любое доп. оборудование для твоей эффективной работы. Google Chat, Gmail, Gdrive, Confluence, Jira...
...Go (или любом другом серверном объектном языке: java, C#, ruby, python). Хорошо понимаешь алгоритмы и структуры данных. Разбираешься в принципах..."
Специалист по машинному обучению, Xsolla Inc.,https://perm.hh.ru/vacancy/30773496?query=python,50 000-120 000 руб.,"Разработка алгоритмов прогнозирования и нахождения аномалий, нетипичных явлений. Анализ трафика, выявление новых трендов и угроз. Настройка автоматизированных отчетов для мониторинга...
Желательно: Интерес к работе в игровой индустрии, понимание игровой динамики и механизма донатов. Умение использовать R, Python для решения статистических..."
QA-Engineer (Xsolla Payments), Xsolla Inc.,https://perm.hh.ru/vacancy/31176424?query=python,40 000-80 000 руб.,"Заниматься написанием автотестов. Улучшать процесс непрерывного автоматического тестирования. Участвовать в проработке функциональных требований к задаче. Заниматься ручным тестированием новой функциональности...
Владеете базовыми навыками программирования на одном из языков: php, js, python, java, go. Знакомы с операционной системой linux и не..."
